gene,FAD_mean,FAD_KO_mean,log2_fold_change,p_value,neg_log10_p
Slc6a8,3.9940908820280225,4.170183114790659,0.17609223276263686,0.022504333335758343,1.647733847994992
Zfp422,2.3038236032756534,2.5379087325545426,0.23408512927888925,0.022657213869061114,1.6447934958709352
Igip,6.199545237192177,6.437136607050108,0.23759136985793106,0.022667948161794384,1.6445877891959022
Exosc1,2.721547781457938,3.056225939962237,0.33467815850429883,0.022740367503296638,1.643202521030688
Kdm1a,3.4559163749575834,3.2407543955924543,-0.21516197936512915,0.022782265572449216,1.6424030898842934
Nrxn3,6.770614977421123,6.6673001244591505,-0.10331485296197229,0.022861328150565047,1.6408985424575309
Nav2,3.006304625252002,3.3239349493916706,0.31763032413966874,0.023027631000990836,1.6377507383760783
Usp20,4.483082351420389,4.663237006148258,0.18015465472786918,0.023068287457158686,1.6369846454230976
Ppp6c,1.9183910203047887,2.126254916276315,0.20786389597152644,0.023147856794625735,1.635489213084722
Idh1,4.17164777737552,4.488382821397455,0.316735044021935,0.02315916678892669,1.6352770695335794
Crebbp,5.462410635697421,5.259476513273138,-0.2029341224242831,0.023335748081992503,1.631978272230131
Ccser2,4.955438965743717,5.107027088686441,0.15158812294272384,0.02339133748445605,1.6309449451206406
Cwc27,2.1988132163089436,2.6338606966735942,0.4350474803646507,0.023405269547256122,1.6306863529466282
Thnsl1,3.4919896264254944,3.78727027808243,0.2952806516569355,0.02340833671820608,1.6306294440465545
Rnf126,2.284548250096419,2.6487269479633,0.36417869786688106,0.023564105698939495,1.6277490378642734
Setd6,2.8400565689168857,3.0561424502139762,0.2160858812970905,0.02363075244832233,1.6265224493811081
Ppp2r3c,2.0073828104199656,1.3535537262072286,-0.653829084212737,0.0238160915301842,1.6231295092742666
Tpst2,3.7718639579108184,4.017632879366744,0.24576892145592533,0.023835075509299378,1.6227834678938469
Ylpm1,6.108827547477685,5.671186448955784,-0.43764109852190103,0.023865596539313427,1.6222277056306869
Htr7,1.657321687807954,2.130198695075539,0.47287700726758497,0.02390336026470249,1.6215410429080117
Rpl19,2.1044482344568824,2.489692118204851,0.3852438837479686,0.023913056266542734,1.621364914270237
Fuk,1.6359526021166353,2.0789934504832015,0.4430408483665662,0.02409773673394302,1.618023744566892
Serinc1,7.944774748966668,8.125278088326867,0.18050333936019936,0.024168171504435555,1.6167562058427822
Clcn4-2,6.5973141168647915,6.870491427852364,0.27317731098757214,0.02417108226022745,1.6167039036212265
